Job 884            , total_duration: 247.08ms       , real_time_elapsed: 7.962729ms     
Job 889            , total_duration: 1.527299968s   , real_time_elapsed: 52.567198ms    
Job 882            , total_duration: 37.919ms       , real_time_elapsed: 1.191578ms     
Job 885            , total_duration: 2.054300032s   , real_time_elapsed: 37.678061ms    
Job 881            , total_duration: 421.169984ms   , real_time_elapsed: 6.19566ms      
Job 879            , total_duration: 138.87ms       , real_time_elapsed: 2.34503ms      
Job 875            , total_duration: 8.1331ms       , real_time_elapsed: 1.154421ms     
Job 876            , total_duration: 602.180032ms   , real_time_elapsed: 20.314547ms    
Job 877            , total_duration: 915.88ms       , real_time_elapsed: 28.853934ms    
Job 878            , total_duration: 1.119100032s   , real_time_elapsed: 32.652391ms    
Job 874            , total_duration: 110.01ms       , real_time_elapsed: 2.322201ms     
Job 873            , total_duration: 51.633ms       , real_time_elapsed: 1.17542ms      
Job 870            , total_duration: 29.832ms       , real_time_elapsed: 1.171851ms     
Job 869            , total_duration: 617.869952ms   , real_time_elapsed: 22.107744ms    
Job 868            , total_duration: 335.949984ms   , real_time_elapsed: 11.944912ms    
Job 867            , total_duration: 187.38ms       , real_time_elapsed: 5.095784ms     
Job 872            , total_duration: 1.795500032s   , real_time_elapsed: 54.881022ms    
Job 871            , total_duration: 2.139400064s   , real_time_elapsed: 60.907289ms    
Job 866            , total_duration: 443.910016ms   , real_time_elapsed: 8.234373ms     
Job 880            , total_duration: 4.767799808s   , real_time_elapsed: 174.785285ms   
Job 965            , total_duration: 5.50710016s    , real_time_elapsed: 982.654891ms   
Job 944            , total_duration: 5.61110016s    , real_time_elapsed: 799.340953ms   
Job 865            , total_duration: 128.62ms       , real_time_elapsed: 2.403996ms     
Job 864            , total_duration: 29.961ms       , real_time_elapsed: 1.222141ms     
Job 862            , total_duration: 60.075ms       , real_time_elapsed: 1.121684ms     
Job 863            , total_duration: 799.48ms       , real_time_elapsed: 10.282227ms    
Job 861            , total_duration: 236.19ms       , real_time_elapsed: 3.574339ms     
Job 860            , total_duration: 354.06ms       , real_time_elapsed: 5.696821ms     
Job 859            , total_duration: 231.14ms       , real_time_elapsed: 3.765353ms     
Job 858            , total_duration: 332.610016ms   , real_time_elapsed: 4.82619ms      
Job 857            , total_duration: 158.31ms       , real_time_elapsed: 2.403262ms     
Job 856            , total_duration: 1.744s         , real_time_elapsed: 21.437741ms    
Job 855            , total_duration: 90.203ms       , real_time_elapsed: 1.13397ms      
Job 852            , total_duration: 123ms          , real_time_elapsed: 2.459295ms     
Job 853            , total_duration: 1.387299968s   , real_time_elapsed: 37.088945ms    
Job 851            , total_duration: 663.08ms       , real_time_elapsed: 22.002997ms    
Job 848            , total_duration: 159.08ms       , real_time_elapsed: 4.838551ms     
Job 847            , total_duration: 164.94ms       , real_time_elapsed: 4.960952ms     
Job 849            , total_duration: 346.8ms        , real_time_elapsed: 11.094523ms    
